Club No,Club Name,Division,Area,From Year,From DCP,To Year,To DCP,Change,To-Year Status,From-Year Members,To-Year Members
07694969,ASPIRE Toastmasters Club,F,53,2022-2023,9,2023-2024,1,-8,,16,0
00006456,Centennial Toastmasters Club,B,24,2022-2023,10,2023-2024,2,-8,,16,12
00861014,Envision Enunciators,F,53,2023-2024,10,2024-2025,2,-8,,17,11
01028836,Fraser Friends,F,53,2022-2023,9,2023-2024,1,-8,,12,2
00000908,Leading Edge Club,E,42,2021-2022,8,2022-2023,0,-8,,8,5
05333636,Aplomb Success KPMG GVA,A,14,2022-2023,10,2023-2024,3,-7,,30,11
00002769,Cloverleaf Toastmasters Club,A,15,2023-2024,9,2024-2025,2,-7,,22,18
02837872,Easy Speakers,D,30,2024-2025,7,2025-2026,0,-7,,8,0
00004142,Richmond Friendly Toastmasters Club,E,40,2023-2024,9,2024-2025,2,-7,,6,0
00007966,Speak With Confidence Club,F,52,2021-2022,10,2022-2023,3,-7,,20,12
00002590,Surrey Club 2590,F,54,2021-2022,9,2022-2023,2,-7,,22,17
00004666,Ambassadors - Tsawwassen Toastmasters,E,40,2021-2022,9,2022-2023,3,-6,,14,11
00004666,Ambassadors - Tsawwassen Toastmasters,E,40,2023-2024,9,2024-2025,3,-6,,12,8
00002651,Cloverdale Club,G,62,2021-2022,10,2022-2023,4,-6,,20,9
00006246,Comp-Talk Toastmasters,E,41,2021-2022,6,2022-2023,0,-6,,10,8
02004846,OC Toastmasters,J,70,2023-2024,8,2024-2025,2,-6,,15,11
00003767,Rich-Del Friendly Dragons,E,40,2023-2024,7,2024-2025,1,-6,,9,8
00822550,Speaking For Success,B,21,2023-2024,9,2024-2025,3,-6,,24,13
00002328,Telespeakers Club,D,44,2023-2024,6,2024-2025,0,-6,,11,8
00005881,The Word Toastmasters,F,53,2021-2022,10,2022-2023,4,-6,,16,10
00005881,The Word Toastmasters,G,63,2024-2025,7,2025-2026,1,-6,,11,7
00007239,Vancouver - Seymour Speakers Club,A,15,2021-2022,10,2022-2023,4,-6,,17,12
07844004,VDA Toastmasters Club,E,41,2022-2023,7,2023-2024,1,-6,,14,9
00001085,West Vancouver Toastmasters 1085,C,22,2024-2025,10,2025-2026,4,-6,,21,15
00009362,Early Edition Toastmasters Club,F,50,2021-2022,8,2022-2023,3,-5,,11,9
07896279,Franco Fun Vancouver Toastmasters,D,31,2024-2025,9,2025-2026,4,-5,,20,14
01449677,Fraser Heights Cornerstone Toastmasters,E,43,2023-2024,10,2024-2025,5,-5,,17,9
02945976,Glenlyon Toastmasters,F,51,2024-2025,6,2025-2026,1,-5,,20,0
00006095,Mission Toastmasters Club,F,54,2023-2024,7,2024-2025,2,-5,,11,11
28676406,PHSA Toastmasters,D,34,2024-2025,6,2025-2026,1,-5,,17,8
00673198,The Ramblers,A,04,2023-2024,8,2024-2025,3,-5,,16,18
00008988,Vancouver Downtown Royal-T,A,12,2023-2024,8,2024-2025,3,-5,,16,11
00000973,Vancouver Speakers and Leaders,A,11,2022-2023,9,2023-2024,4,-5,,28,20
01134527,Absolutely Toasted,B,21,2023-2024,7,2024-2025,3,-4,,12,9
05265003,Burnaby Entrepreneurs Toastmasters Club,D,44,2023-2024,9,2024-2025,5,-4,Distinguished,29,21
00003219,Diverse Abilities,C,20,2022-2023,8,2023-2024,4,-4,,13,13
00009362,Early Edition Toastmasters Club,G,64,2024-2025,7,2025-2026,3,-4,,14,9
00008237,Earth Aware Toastmasters Club,B,22,2021-2022,8,2022-2023,4,-4,,13,10
00008237,Earth Aware Toastmasters Club,B,22,2023-2024,10,2024-2025,6,-4,Distinguished,22,23
00009257,enRICHed Speakers Toastmasters Club,E,42,2021-2022,9,2022-2023,5,-4,,12,10
00009257,enRICHed Speakers Toastmasters Club,E,42,2023-2024,9,2024-2025,5,-4,,13,9
01254308,FortiMasters,F,53,2024-2025,7,2025-2026,3,-4,,15,15
02945976,Glenlyon Toastmasters,D,42,2023-2024,10,2024-2025,6,-4,Distinguished,23,20
28675324,Money Matters Toastmasters,E,54,2022-2023,7,2023-2024,3,-4,,16,9
00003620,Nanaimo Online Toastmasters,B,12,2024-2025,6,2025-2026,2,-4,,10,8
00001882,Oak Bay Toastmasters Club,B,12,2021-2022,9,2022-2023,5,-4,Distinguished,21,24
00001882,Oak Bay Toastmasters Club,A,03,2023-2024,9,2024-2025,5,-4,Distinguished,23,20
00005488,Richmond Toastmasters Club,E,42,2021-2022,9,2022-2023,5,-4,,23,14
00009453,Rise And Shine Toastmasters Club,G,60,2022-2023,7,2023-2024,3,-4,,14,13
01472411,Sooke Harbour Toastmasters Club,A,03,2022-2023,7,2023-2024,3,-4,,13,10
00009460,Surrey Civic Toastmasters,H,70,2024-2025,7,2025-2026,3,-4,,14,13
00009740,Vancouver Racquenteurs Toastmasters,B,23,2021-2022,9,2022-2023,5,-4,,12,12
00009516,White Rock Evening Edition Club,F,50,2023-2024,6,2024-2025,2,-4,,16,8
00000965,Abbotsford Sundown Club,F,54,2023-2024,8,2024-2025,5,-3,,18,14
00004589,Advanced Speakers Club,A,14,2022-2023,7,2023-2024,4,-3,,18,16
00005750,Arbutus Toastmasters Club,C,21,2021-2022,9,2022-2023,6,-3,Distinguished,20,21
07007776,BC Public Service Virtual Communicators,A,04,2023-2024,8,2024-2025,5,-3,,12,11
00001892,Burrard Toastmasters Club,A,11,2022-2023,9,2023-2024,6,-3,Distinguished,28,27
00006456,Centennial Toastmasters Club,E,43,2024-2025,7,2025-2026,4,-3,,17,14
00004328,City Hall Connaught Toastmasters Club,B,22,2023-2024,7,2024-2025,4,-3,,17,17
00004548,Declarations Toastmasters,B,25,2022-2023,9,2023-2024,6,-3,,20,9
00004548,Declarations Toastmasters,D,32,2024-2025,8,2025-2026,5,-3,,11,10
00689049,Energized Communicators Toastmasters Club,E,43,2023-2024,6,2024-2025,3,-3,,25,24
00005952,Goldstream Toastmasters,A,03,2022-2023,7,2023-2024,4,-3,,21,17
00008031,Mid Island Advanced Toastmasters Club,C,21,2023-2024,9,2024-2025,6,-3,,12,11
00006884,Monday Night Vernon Toastmasters Club,J,72,2023-2024,7,2024-2025,4,-3,,16,11
00001248,Morningstars Toastmasters Club,C,23,2024-2025,9,2025-2026,6,-3,Distinguished,13,20
00003620,Nanaimo Online Toastmasters,C,20,2021-2022,8,2022-2023,5,-3,,11,7
00005060,Norvic Toastmasters Club,A,01,2023-2024,7,2024-2025,4,-3,,9,10
00006907,Power Speakers 6907,F,50,2024-2025,8,2025-2026,5,-3,Distinguished,9,19
01017095,Presentation Artists,C,32,2023-2024,8,2024-2025,5,-3,,14,9
00006155,Quay Speakers Toastmasters Club,H,61,2021-2022,9,2022-2023,6,-3,,20,14
00002861,Salmon Arm Toastmasters Club,J,82,2024-2025,8,2025-2026,5,-3,,17,15
03248959,Silverbridge Toastmasters,B,11,2024-2025,8,2025-2026,5,-3,,17,13
03314718,Spotlight Speakers,E,41,2021-2022,6,2022-2023,3,-3,,18,14
00605658,Talk of the Town,E,52,2022-2023,7,2023-2024,4,-3,,17,14
