Club No,Club Name,Division,Area,From Year,From DCP,To Year,To DCP,Change,To-Year Status,From-Year Members,To-Year Members
05333636,Aplomb Success KPMG GVA,A,14,2021-2022,2,2022-2023,10,8,President's Distinguished,22,30
00006456,Centennial Toastmasters Club,B,20,2021-2022,2,2022-2023,10,8,President's Distinguished,12,16
00861014,Envision Enunciators,G,62,2022-2023,2,2023-2024,10,8,,21,17
28677846,Richmond Chamber of Commerce Members Toastmasters Club,G,63,2024-2025,2,2025-2026,10,8,President's Distinguished,22,24
05265003,Burnaby Entrepreneurs Toastmasters Club,J,84,2021-2022,3,2022-2023,10,7,President's Distinguished,10,27
00003767,Rich-Del Friendly Dragons,E,40,2022-2023,0,2023-2024,7,7,,8,9
04111115,Sea To Sky Toastmasters,C,33,2022-2023,1,2023-2024,8,7,Select Distinguished,9,15
03248959,Silverbridge Toastmasters,C,20,2023-2024,1,2024-2025,8,7,Select Distinguished,12,17
00007966,Speak With Confidence Club,F,51,2022-2023,3,2023-2024,10,7,President's Distinguished,12,20
00004666,Ambassadors - Tsawwassen Toastmasters,E,40,2022-2023,3,2023-2024,9,6,,11,12
07694969,ASPIRE Toastmasters Club,F,54,2021-2022,3,2022-2023,9,6,President's Distinguished,8,16
00008237,Earth Aware Toastmasters Club,B,22,2022-2023,4,2023-2024,10,6,President's Distinguished,10,22
00006095,Mission Toastmasters Club,H,73,2024-2025,2,2025-2026,8,6,Select Distinguished,11,16
28675324,Money Matters Toastmasters,M,94,2021-2022,1,2022-2023,7,6,,20,16
00005060,Norvic Toastmasters Club,B,10,2022-2023,1,2023-2024,7,6,Select Distinguished,6,9
00002861,Salmon Arm Toastmasters Club,J,72,2023-2024,2,2024-2025,8,6,Select Distinguished,11,17
00673198,The Ramblers,B,13,2022-2023,2,2023-2024,8,6,Select Distinguished,13,16
00003984,Triple-C Toastmasters Club,B,14,2024-2025,4,2025-2026,10,6,Select Distinguished,9,14
00000973,Vancouver Speakers and Leaders,A,11,2021-2022,3,2022-2023,9,6,President's Distinguished,11,28
03193346,Advanced Leaders Lab (ALL),C,34,2023-2024,4,2024-2025,9,5,President's Distinguished,10,15
00006456,Centennial Toastmasters Club,B,24,2023-2024,2,2024-2025,7,5,Select Distinguished,12,17
02837872,Easy Speakers,B,21,2022-2023,0,2023-2024,5,5,Distinguished,10,16
07896279,Franco Fun Vancouver Toastmasters,A,14,2021-2022,2,2022-2023,7,5,,12,12
00006095,Mission Toastmasters Club,G,61,2022-2023,2,2023-2024,7,5,,13,11
00009073,Morning Sun Club,J,82,2024-2025,1,2025-2026,6,5,,13,16
00002046,Nechako Toastmasters,C,32,2023-2024,1,2024-2025,6,5,Distinguished,8,11
02004846,OC Toastmasters,J,70,2022-2023,3,2023-2024,8,5,Select Distinguished,12,15
00009453,Rise And Shine Toastmasters Club,H,72,2024-2025,3,2025-2026,8,5,Distinguished,14,18
00002590,Surrey Club 2590,H,74,2024-2025,4,2025-2026,9,5,President's Distinguished,18,25
00002328,Telespeakers Club,D,44,2022-2023,1,2023-2024,6,5,Distinguished,8,11
00005881,The Word Toastmasters,E,42,2023-2024,2,2024-2025,7,5,Select Distinguished,8,11
00845571,Toastmentors,F,51,2023-2024,3,2024-2025,8,5,,15,14
07844004,VDA Toastmasters Club,E,41,2021-2022,2,2022-2023,7,5,,13,14
00001929,Vernon Club,J,72,2021-2022,0,2022-2023,5,5,Distinguished,3,12
00001929,Vernon Club,J,72,2023-2024,3,2024-2025,8,5,Select Distinguished,20,25
00000965,Abbotsford Sundown Club,G,61,2022-2023,4,2023-2024,8,4,,21,18
00001201,Birdcage Babblers,B,12,2021-2022,1,2022-2023,5,4,,11,12
00004328,City Hall Connaught Toastmasters Club,B,22,2022-2023,3,2023-2024,7,4,Select Distinguished,13,17
00002651,Cloverdale Club,G,62,2022-2023,4,2023-2024,8,4,Select Distinguished,9,14
00009362,Early Edition Toastmasters Club,F,50,2023-2024,3,2024-2025,7,4,Select Distinguished,10,14
03050928,Golden Ears Christian Toastmasters,E,54,2022-2023,0,2023-2024,4,4,,10,10
00002460,Kerrisdale Toastmasters Club,B,20,2021-2022,1,2022-2023,5,4,Distinguished,16,25
01328523,Langley Morning Toastmasters,F,53,2023-2024,1,2024-2025,5,4,,7,9
00006884,Monday Night Vernon Toastmasters Club,J,72,2022-2023,3,2023-2024,7,4,Select Distinguished,12,16
01017095,Presentation Artists,E,53,2022-2023,4,2023-2024,8,4,,14,14
00009453,Rise And Shine Toastmasters Club,G,60,2021-2022,3,2022-2023,7,4,Select Distinguished,11,14
00614459,Saltspring Worldwide Quantum Toastmasters,B,11,2024-2025,3,2025-2026,7,4,Select Distinguished,11,18
00002590,Surrey Club 2590,F,53,2022-2023,2,2023-2024,6,4,,17,13
07763511,Talktioneers,D,42,2022-2023,0,2023-2024,4,4,,9,17
07535384,The Knights of Abbotsford,G,61,2022-2023,3,2023-2024,7,4,Select Distinguished,8,13
00001709,Advanced Aurators Club,B,21,2022-2023,2,2023-2024,5,3,Distinguished,5,9
00006382,Advocates Toastmasters,A,02,2024-2025,2,2025-2026,5,3,Distinguished,8,11
00002645,Armstrong Toastmasters Club 2645,J,72,2022-2023,1,2023-2024,4,3,,7,8
00003872,Burnaby Toasters Club,D,44,2022-2023,2,2023-2024,5,3,Distinguished,5,13
06016172,Clever Toastmasters Action Bunch,C,32,2021-2022,1,2022-2023,4,3,,12,11
00000950,Cowichan Toastmasters Club,A,01,2022-2023,4,2023-2024,7,3,Select Distinguished,12,18
07050191,Dynamic Professional Speakers,H,71,2024-2025,4,2025-2026,7,3,Distinguished,11,14
00689049,Energized Communicators Toastmasters Club,F,51,2022-2023,3,2023-2024,6,3,Distinguished,22,25
03050928,Golden Ears Christian Toastmasters,E,54,2023-2024,4,2024-2025,7,3,,10,8
01298198,Hi Noon Toastmasters,J,72,2021-2022,2,2022-2023,5,3,,12,10
28677043,Mamawii Toastmasters,B,21,2023-2024,1,2024-2025,4,3,,8,9
00004671,Master Motivators Toastmasters Club,A,03,2024-2025,3,2025-2026,6,3,Distinguished,15,18
00008790,MDA Toastmasters,E,42,2022-2023,1,2023-2024,4,3,,11,10
00003620,Nanaimo Online Toastmasters,C,21,2023-2024,3,2024-2025,6,3,,8,10
00001734,North Vancouver Friendship Toastmasters,C,34,2022-2023,1,2023-2024,4,3,,16,13
02004846,OC Toastmasters,J,80,2024-2025,2,2025-2026,5,3,Distinguished,11,19
00006252,Plaza 400 Toastmasters Club,J,83,2024-2025,2,2025-2026,5,3,Distinguished,11,16
28678021,Queer Voices Toastmasters Club,D,33,2024-2025,2,2025-2026,5,3,Distinguished,23,25
00003767,Rich-Del Friendly Dragons,G,60,2024-2025,1,2025-2026,4,3,,8,8
00001288,Saanich Peninsula Club,B,12,2021-2022,2,2022-2023,5,3,Distinguished,9,16
00009328,Snowpeaks Toastmasters Club,G,60,2021-2022,2,2022-2023,5,3,,9,10
04809564,St. Paul's Toastmasters,A,12,2021-2022,2,2022-2023,5,3,Distinguished,8,12
00009460,Surrey Civic Toastmasters,F,54,2021-2022,2,2022-2023,5,3,Distinguished,8,17
01816260,UBC Staff Toastmasters Club,B,23,2023-2024,1,2024-2025,4,3,,8,13
00007239,Vancouver - Seymour Speakers Club,E,41,2024-2025,3,2025-2026,6,3,,16,16
00008988,Vancouver Downtown Royal-T,A,12,2021-2022,2,2022-2023,5,3,Distinguished,8,12
00009740,Vancouver Racquenteurs Toastmasters,B,23,2023-2024,2,2024-2025,5,3,,9,9
00000790,Victoria Beaver Toastmasters Club #790,B,10,2021-2022,2,2022-2023,5,3,,9,10
03638388,Well-Spoken Professionals (WSP) Toastmasters Club,A,15,2023-2024,0,2024-2025,3,3,,8,11
00008178,White Rock Club,F,50,2021-2022,4,2022-2023,7,3,Select Distinguished,18,28
01134527,Absolutely Toasted,D,31,2024-2025,3,2025-2026,5,2,Distinguished,9,12
00004560,Achievers  Toastmasters Club,J,84,2024-2025,3,2025-2026,5,2,Distinguished,13,19
00006382,Advocates Toastmasters,B,11,2022-2023,3,2023-2024,5,2,,11,9
00004666,Ambassadors - Tsawwassen Toastmasters,G,60,2024-2025,3,2025-2026,5,2,Distinguished,8,11
05333636,Aplomb Success KPMG GVA,A,14,2023-2024,3,2024-2025,5,2,Distinguished,11,23
03924503,AtkinsRealis Vancouver Toastmasters,A,12,2022-2023,3,2023-2024,5,2,Distinguished,9,15
00714495,Campbell River Toastmasters Club,C,22,2022-2023,1,2023-2024,3,2,,8,11
00000786,Cariboo Club,C,31,2023-2024,1,2024-2025,3,2,,8,8
00000786,Cariboo Club,J,83,2024-2025,3,2025-2026,5,2,Distinguished,8,11
00003197,Cariboo Speakers and Leaders,D,43,2021-2022,1,2022-2023,3,2,,10,9
00003197,Cariboo Speakers and Leaders,C,32,2023-2024,1,2024-2025,3,2,,8,8
00813114,Community Impact Speakers Club,D,42,2023-2024,4,2024-2025,6,2,Distinguished,11,14
00000950,Cowichan Toastmasters Club,A,01,2021-2022,2,2022-2023,4,2,,13,12
00003219,Diverse Abilities,C,22,2023-2024,4,2024-2025,6,2,,13,11
00009932,Engaging Humour Toastmasters Club,G,60,2024-2025,2,2025-2026,4,2,,9,9
28677266,EY Vancouver Toastmasters Club,B,21,2023-2024,1,2024-2025,3,2,,36,32
00005952,Goldstream Toastmasters,B,10,2024-2025,3,2025-2026,5,2,Distinguished,13,17
00009412,Logos Toastmasters Club,C,34,2022-2023,1,2023-2024,3,2,,15,21
00009412,Logos Toastmasters Club,C,34,2023-2024,3,2024-2025,5,2,Distinguished,21,21
00008031,Mid Island Advanced Toastmasters Club,C,21,2021-2022,4,2022-2023,6,2,,9,8
28675324,Money Matters Toastmasters,E,54,2023-2024,3,2024-2025,5,2,,9,8
00009073,Morning Sun Club,J,73,2022-2023,2,2023-2024,4,2,,10,13
00006196,Nelson Fresh Tracks Toastmasters,J,71,2021-2022,2,2022-2023,4,2,,9,8
00006676,NiteShifters Toastmasters Club,A,01,2021-2022,3,2022-2023,5,2,,16,14
01827173,PARAKEETS Toastmasters Club,J,87,2021-2022,3,2022-2023,5,2,,14,14
00008116,Positively Speaking Club,M,94,2021-2022,4,2022-2023,6,2,Distinguished,8,12
00001211,Readers & Debaters,B,11,2021-2022,1,2022-2023,3,2,,8,9
07192108,RHN CPA Toastmasters,E,40,2021-2022,1,2022-2023,3,2,,11,11
28677925,RSL Toastmasters Club,F,53,2024-2025,3,2025-2026,5,2,,19,16
00001288,Saanich Peninsula Club,A,03,2023-2024,4,2024-2025,6,2,Distinguished,18,22
00002852,Sentinel Speakers Club,J,71,2022-2023,2,2023-2024,4,2,,7,8
00002852,Sentinel Speakers Club,J,71,2023-2024,4,2024-2025,6,2,Distinguished,8,11
03248959,Silverbridge Toastmasters,A,01,2021-2022,0,2022-2023,2,2,,0,19
00813938,Speak Your Mind,B,25,2022-2023,3,2023-2024,5,2,Distinguished,9,12
00005818,Speakeasy Club,J,87,2021-2022,3,2022-2023,5,2,Distinguished,11,14
07378883,SPEAKtacular,F,50,2022-2023,0,2023-2024,2,2,,12,10
00002171,Spruce Capital Club,J,83,2024-2025,4,2025-2026,6,2,Distinguished,8,13
00004476,Sundogs Toastmasters Club,D,42,2021-2022,1,2022-2023,3,2,,7,14
00002328,Telespeakers Club,F,52,2024-2025,0,2025-2026,2,2,,8,7
07535384,The Knights of Abbotsford,G,61,2021-2022,1,2022-2023,3,2,,10,8
00007239,Vancouver - Seymour Speakers Club,A,15,2023-2024,1,2024-2025,3,2,,11,16
00008178,White Rock Club,F,50,2023-2024,4,2024-2025,6,2,,23,18
00009516,White Rock Evening Edition Club,G,64,2024-2025,2,2025-2026,4,2,,8,15
00004560,Achievers  Toastmasters Club,D,42,2021-2022,2,2022-2023,3,1,,10,13
00004560,Achievers  Toastmasters Club,C,32,2023-2024,2,2024-2025,3,1,,11,13
00004589,Advanced Speakers Club,A,14,2023-2024,4,2024-2025,5,1,,16,12
00001201,Birdcage Babblers,A,04,2024-2025,4,2025-2026,5,1,Distinguished,11,14
00008394,Birdcage Club,A,01,2023-2024,2,2024-2025,3,1,,12,5
00005989,Burnaby Mountain Toastmasters Club,M,91,2021-2022,3,2022-2023,4,1,,6,9
00005989,Burnaby Mountain Toastmasters Club,E,51,2022-2023,4,2023-2024,5,1,,9,10
00005989,Burnaby Mountain Toastmasters Club,F,53,2024-2025,2,2025-2026,3,1,,12,9
00714495,Campbell River Toastmasters Club,B,14,2024-2025,2,2025-2026,3,1,,12,14
06016172,Clever Toastmasters Action Bunch,B,25,2023-2024,2,2024-2025,3,1,,11,10
00002769,Cloverleaf Toastmasters Club,E,41,2024-2025,2,2025-2026,3,1,,18,19
00006246,Comp-Talk Toastmasters,E,41,2022-2023,0,2023-2024,1,1,,8,8
00006246,Comp-Talk Toastmasters,G,63,2024-2025,0,2025-2026,1,1,,9,8
28675937,Control Freaks,G,62,2022-2023,1,2023-2024,2,1,,21,15
00003532,Cranbrook First Club,J,71,2022-2023,2,2023-2024,3,1,,9,10
07050191,Dynamic Professional Speakers,G,62,2022-2023,3,2023-2024,4,1,,8,8
00009932,Engaging Humour Toastmasters Club,G,61,2022-2023,3,2023-2024,4,1,,14,10
03844160,Finding Vino Toastmasters Club,F,51,2021-2022,2,2022-2023,3,1,,12,10
03844160,Finding Vino Toastmasters Club,F,50,2023-2024,1,2024-2025,2,1,,10,8
00005346,First Mandarin Toastmasters Club,E,41,2023-2024,0,2024-2025,1,1,,8,8
01481452,Fluor Vancouver Speakers,A,15,2023-2024,2,2024-2025,3,1,,10,14
01254308,FortiMasters,D,43,2022-2023,4,2023-2024,5,1,Distinguished,10,17
07934556,Illumination Mandarin Toastmasters Club,B,11,2022-2023,1,2023-2024,2,1,,10,8
00000908,Leading Edge Club,E,42,2022-2023,0,2023-2024,1,1,,5,8
00009412,Logos Toastmasters Club,H,64,2021-2022,0,2022-2023,1,1,,8,15
01348085,Monashee Toastmasters,J,72,2023-2024,2,2024-2025,3,1,,10,9
00006196,Nelson Fresh Tracks Toastmasters,J,71,2023-2024,3,2024-2025,4,1,,7,8
00006196,Nelson Fresh Tracks Toastmasters,J,81,2024-2025,4,2025-2026,5,1,Distinguished,8,11
00813223,Night Hawks Club,A,02,2021-2022,1,2022-2023,2,1,,6,9
00001734,North Vancouver Friendship Toastmasters,C,34,2023-2024,4,2024-2025,5,1,Distinguished,13,17
00006252,Plaza 400 Toastmasters Club,C,31,2022-2023,1,2023-2024,2,1,,0,9
02156215,Power Toasters,B,11,2022-2023,1,2023-2024,2,1,,12,9
02156215,Power Toasters,A,04,2023-2024,2,2024-2025,3,1,,9,9
00005488,Richmond Toastmasters Club,E,41,2023-2024,2,2024-2025,3,1,,11,17
00692859,Roadsters Club,D,41,2023-2024,1,2024-2025,2,1,,10,11
00002861,Salmon Arm Toastmasters Club,J,72,2022-2023,1,2023-2024,2,1,,8,11
00614459,Saltspring Worldwide Quantum Toastmasters,C,20,2023-2024,2,2024-2025,3,1,,12,11
00002952,Seniors Speak Toastmasters,B,10,2022-2023,1,2023-2024,2,1,,8,9
00002952,Seniors Speak Toastmasters,C,22,2023-2024,2,2024-2025,3,1,,9,8
06136285,Seymour Synergy Toastmasters Club,A,02,2022-2023,4,2023-2024,5,1,Distinguished,11,15
01472411,Sooke Harbour Toastmasters Club,B,10,2024-2025,3,2025-2026,4,1,,11,10
00822550,Speaking For Success,D,30,2024-2025,3,2025-2026,4,1,,13,11
00605658,Talk of the Town,E,52,2023-2024,4,2024-2025,5,1,Distinguished,14,24
07213468,TELUS Gardeners,A,14,2023-2024,1,2024-2025,2,1,,8,9
00845571,Toastmentors,G,60,2022-2023,2,2023-2024,3,1,,17,15
00007340,Trestle Toastmasters,A,02,2022-2023,2,2023-2024,3,1,,11,13
00007340,Trestle Toastmasters,B,10,2024-2025,1,2025-2026,2,1,,11,9
00003984,Triple-C Toastmasters Club,C,22,2022-2023,4,2023-2024,5,1,,13,12
01816260,UBC Staff Toastmasters Club,B,23,2022-2023,0,2023-2024,1,1,,4,8
00000973,Vancouver Speakers and Leaders,A,11,2023-2024,4,2024-2025,5,1,Distinguished,20,27
00001085,West Vancouver Toastmasters 1085,H,64,2021-2022,4,2022-2023,5,1,,10,12
00000872,Westside Toastmasters,J,70,2021-2022,2,2022-2023,3,1,,14,10
