Club No,Club Name,Division,Area,Program Year,Month,Month End,As Of,DCP Status,Club Success Plan,Membership Base,Membership To Date,Net Growth,DCP Goals Met,Level 1 awards,Level 2 awards,More Level 2 awards,Level 3 awards,"Level 4, Path Completion, or DTM award","One more Level 4, Path Completion, or DTM award",New members,More new members,Club officer roles trained June-August,Club officer roles trained November-February,Membership-renewal dues on time,Club officer list on time
00000965,Abbotsford Sundown Club,G,61,2021-2022,Jul 2021,2021-07-31,10-Aug-2021,,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Aug 2021,2021-08-31,9-Sep-2021,,,17,17,0,0,0,0,0,0,0,0,0,0,4,0,0,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Sep 2021,2021-09-30,12-Oct-2021,,,17,17,0,1,0,1,0,0,0,0,0,0,4,0,1,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Oct 2021,2021-10-31,10-Nov-2021,,,17,9,-8,1,0,1,0,0,0,0,0,0,4,0,1,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Nov 2021,2021-11-30,9-Dec-2021,,,17,11,-6,1,0,1,0,0,0,0,2,0,4,0,1,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Dec 2021,2021-12-31,6-Jan-2022,,,17,11,-6,1,0,1,0,0,0,0,2,0,4,2,1,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Jan 2022,2022-01-31,9-Feb-2022,,,17,11,-6,1,0,1,0,0,0,0,2,0,4,2,1,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Feb 2022,2022-02-28,8-Mar-2022,,,17,12,-5,2,0,1,0,0,0,0,3,0,4,6,1,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Mar 2022,2022-03-31,10-Apr-2022,,,17,12,-5,2,1,1,0,0,0,0,3,0,4,6,2,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Apr 2022,2022-04-30,30-Apr-2022,,,17,11,-6,3,1,1,0,0,0,0,4,1,4,6,2,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,May 2022,2022-05-31,17-Jun-2022,,,17,16,-1,4,1,1,0,0,0,0,4,6,4,6,2,1
00000965,Abbotsford Sundown Club,G,61,2021-2022,Jun 2022,2022-06-30,29-Jul-2022,,,17,18,1,5,1,2,0,0,0,0,4,8,4,6,2,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Jul 2022,2022-07-31,9-Aug-2022,,,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Aug 2022,2022-08-31,8-Sep-2022,,,18,19,1,0,0,0,0,0,0,0,1,0,4,0,0,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Sep 2022,2022-09-30,17-Oct-2022,,,18,20,2,1,0,0,0,0,0,0,2,0,5,0,1,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Oct 2022,2022-10-31,15-Nov-2022,,,18,13,-5,1,0,0,0,0,0,0,2,0,5,0,1,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Nov 2022,2022-11-30,9-Dec-2022,,,18,13,-5,1,0,0,0,0,0,0,2,0,5,0,1,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Dec 2022,2022-12-31,10-Jan-2023,,,18,16,-2,2,0,0,0,0,0,0,4,1,5,3,1,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Jan 2023,2023-01-31,8-Feb-2023,,,18,19,1,3,1,0,0,0,0,0,4,4,5,3,1,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Feb 2023,2023-02-28,9-Mar-2023,,,18,19,1,4,1,0,0,0,0,0,4,4,5,4,1,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Mar 2023,2023-03-31,14-Apr-2023,,,18,20,2,4,1,1,0,0,0,0,4,5,5,4,2,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Apr 2023,2023-04-30,12-May-2023,,,18,17,-1,4,1,1,0,0,0,0,4,8,5,4,2,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,May 2023,2023-05-31,7-Jun-2023,,,18,18,0,4,2,1,0,0,0,0,4,9,5,4,2,1
00000965,Abbotsford Sundown Club,G,61,2022-2023,Jun 2023,2023-06-30,20-Jul-2023,,,18,21,3,4,2,1,0,0,0,0,4,12,5,4,2,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Jul 2023,2023-07-31,11-Aug-2023,,,21,21,0,0,0,0,0,0,0,0,0,0,3,0,0,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Aug 2023,2023-08-31,6-Sep-2023,,,21,22,1,0,0,0,0,0,0,0,1,0,3,0,0,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Sep 2023,2023-09-30,12-Oct-2023,,,21,22,1,1,1,0,0,0,0,0,1,0,3,0,1,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Oct 2023,2023-10-31,8-Nov-2023,,,21,15,-6,1,1,0,0,0,0,0,2,0,3,0,1,1
00000965,Abbotsford Sundown Club,G,61,2023-2024,Nov 2023,2023-11-30,6-Dec-2023,,,21,19,-2,2,1,0,0,0,0,0,4,2,3,0,1,1
