396	Thunderbird Toastmasters Club
5060	Norvic Toastmasters Club
7007776	BC Public Service Virtual Communicators
7085759	Capital Park Superior Speakers
1882	Oak Bay Toastmasters Club
6382	Advocates Toastmasters
6676	NiteShifters Toastmasters Club
1642540	Canada Revenue Raconteurs
1288	Saanich Peninsula Club
4671	Master Motivators Toastmasters Club
1390136	Quorum Toastmasters
2156215	Power Toasters
6136285	Seymour Synergy Toastmasters Club
331	Rise And Shine
790	Victoria Beaver Toastmasters Club #790
1201	Birdcage Babblers
673198	The Ramblers
28680069	Advanced Solutions
38	First Canadian Toastmasters Club
5952	Goldstream Toastmasters
7340	Trestle Toastmasters
1472411	Sooke Harbour Toastmasters Club
950	Cowichan Toastmasters Club
2952	Seniors Speak Toastmasters
3219	Diverse Abilities
614459	Saltspring Worldwide Quantum Toastmasters
3248959	Silverbridge Toastmasters
3620	Nanaimo Online Toastmasters
7460	Harbour City Toastmasters Club
8031	Mid Island Advanced Toastmasters Club
4469753	Island Excellence Toastmasters
3984	Triple-C Toastmasters Club
5750	Arbutus Toastmasters Club
714495	Campbell River Toastmasters Club
7561946	Talking The Walk Toastmasters
973	Vancouver Speakers and Leaders
8988	Vancouver Downtown Royal-T
4809564	St. Paul's Toastmasters
28677266	EY Vancouver Toastmasters Club
28678021	Queer Voices Toastmasters Club
1734	North Vancouver Friendship Toastmasters
6155	Quay Speakers Toastmasters Club
1481452	Fluor Vancouver Speakers
3193346	Advanced Leaders Lab (ALL)
322	North Vancouver Toastmasters
1085	West Vancouver Toastmasters 1085
9412	Logos Toastmasters Club
28677705	Arc'teryx Toastmasters
1248	Morningstars Toastmasters Club
5403	Sunshine Toastmasters
1017095	Presentation Artists
1494034	Howe Sound Toastmasters
4111115	Sea To Sky Toastmasters
8139	Night Vision Toastmasters Club
813938	Speak Your Mind
7896279	Franco Fun Vancouver Toastmasters
28675643	Empowering Entrepreneurs Toastmasters
4548	Declarations Toastmasters
982012	Vancouver Entrepreneurs Toastmasters Club
3134398	Vancouver Mandarin Learners
7213468	TELUS Gardeners
28678351	Glagol Russian-speaking Toastmasters
1134527	Absolutely Toasted
5700655	Be Amazing
7050191	Dynamic Professional Speakers
28675324	Money Matters Toastmasters
28678034	Electrify Your Speech
9740	Vancouver Racquenteurs Toastmasters
3924503	AtkinsRealis Vancouver Toastmasters
5333636	Aplomb Success KPMG GVA
28676406	PHSA Toastmasters
28680752	IA Vancouver Toastmasters
1892	Burrard Toastmasters Club
2769	Cloverleaf Toastmasters Club
4476	Sundogs Toastmasters Club
7239	Vancouver - Seymour Speakers Club
822550	Speaking For Success
2356080	Dunsmuir Power Presenters
28677043	Mamawii Toastmasters
59	Vancouver Toastmasters Club
1709	Advanced Aurators Club
4328	City Hall Connaught Toastmasters Club
8237	Earth Aware Toastmasters Club
3638388	Well-Spoken Professionals (WSP) Toastmasters Club
2460	Kerrisdale Toastmasters Club
4812	Marpole Community Toastmasters Club
6456	Centennial Toastmasters Club
